stocks,weights
000652.SZ,1.2778756139336057e-07
000657.SZ,0.00023149939687007573
000659.SZ,6.7845106482434294e-09
000661.SZ,2.7371932221374692e-05
000663.SZ,7.331059472231018e-07
000665.SZ,2.760797337219662e-07
000668.SZ,0.0002950888828549667
000670.SZ,3.2290741379080506e-05
000672.SZ,3.95273014701404e-08
000676.SZ,5.393836826297209e-08
000677.SZ,8.948371102882151e-05
000678.SZ,5.373491408425676e-06
000679.SZ,1.3660277629767872e-07
000680.SZ,1.7231614063201093e-06
000681.SZ,0.00032697981837687205
000682.SZ,5.6036421597042904e-05
000683.SZ,0.0003658620789554353
000685.SZ,-4.23777153195358e-08
000688.SZ,0.0011243351389554788
000690.SZ,7.267493751844167e-05
000691.SZ,2.1137044995378793e-07
000695.SZ,2.766928640983242e-08
000697.SZ,8.770466638976418e-05
000698.SZ,0.0001051762826081253
000700.SZ,2.5125899263606757e-07
000701.SZ,0.0001986462643503261
000702.SZ,0.0005225656023266305
000703.SZ,1.554198585474981e-08
000705.SZ,0.00016672980980128835
000707.SZ,2.623971225897127e-06
000708.SZ,7.003199739346592e-06
000709.SZ,2.024846070943512e-06
000710.SZ,0.00017334086571586276
000713.SZ,3.569802197402958e-07
000715.SZ,6.26593397621473e-07
000716.SZ,1.5017665944269911e-06
000717.SZ,1.2173084254407417e-06
000718.SZ,0.000992132590274422
000719.SZ,0.0008347768955762664
000720.SZ,3.6254722820311156e-05
000721.SZ,8.407427819386096e-07
000723.SZ,0.0003221392388684358
000725.SZ,1.2688758961248974e-07
000726.SZ,0.002508567023522893
000727.SZ,7.994449569441111e-08
000729.SZ,2.3965800598017295e-07
000731.SZ,1.2434057259691695e-06
000733.SZ,0.0008348659125577523
000735.SZ,2.3482346780287043e-06
000736.SZ,4.5987301215930955e-07
000737.SZ,4.593290254844854e-06
000738.SZ,6.085861392650039e-08
000739.SZ,1.0870312071294311e-07
000751.SZ,1.1198569941590116e-07
000753.SZ,2.3465844491374273e-07
000755.SZ,1.2852816382697379e-05
000756.SZ,9.074066962969694e-05
000757.SZ,7.38704587400965e-07
000758.SZ,8.680905914593972e-07
000759.SZ,1.5527777529145105e-08
000761.SZ,0.00020296918891818646
000762.SZ,4.204704314719336e-08
000766.SZ,0.000114627925198962
000767.SZ,1.008251375451036e-07
000768.SZ,6.672335909142798e-08
000777.SZ,0.000382221328452323
000778.SZ,4.775359818740575e-07
000779.SZ,0.0008246947847302624
000782.SZ,5.387432329534368e-07
000785.SZ,0.0003244021759536004
000786.SZ,1.0298575764739269e-07
000788.SZ,0.00012166345325750023
000789.SZ,0.0002776816412282287
000790.SZ,1.0755556580906264e-06
000791.SZ,0.00010560630777617555
000792.SZ,1.3852314879818764e-06
000793.SZ,1.5419327827337913e-07
000795.SZ,2.0692890879713087e-05
000797.SZ,3.775689403955926e-06
000798.SZ,0.0001288764006683584
000799.SZ,0.0010531886461619992
000800.SZ,7.204390817508082e-07
000801.SZ,0.0002915605002185301
000803.SZ,3.7852101225232684e-06
000807.SZ,0.0003281475840413038
000810.SZ,0.0005929312470709084
000811.SZ,0.0001988156868624744
000812.SZ,8.329574808842047e-08
000813.SZ,1.683752129916083e-05
000815.SZ,0.00016257851979634927
000816.SZ,5.541223871177168e-05
000818.SZ,1.9113599800253762e-07
000819.SZ,0.0005788544918874768
000821.SZ,4.0952850521111293e-05
000822.SZ,8.47664970280603e-05
000823.SZ,3.1867205121915957e-07
000825.SZ,4.107973605748559e-05
000826.SZ,0.00025813028839599634
000828.SZ,1.415906299871261e-07
000829.SZ,7.751081297389421e-07
000830.SZ,9.508334293202282e-06
000831.SZ,0.0002192540516074286
000833.SZ,2.4383389147565253e-07
000837.SZ,2.7168588716805047e-07
000838.SZ,0.00046305721382886933
000848.SZ,0.0002629611026745439
000850.SZ,1.771190722468544e-07
000852.SZ,0.00013489204943149553
000856.SZ,0.0003565482794548585
000858.SZ,0.0003183040863429813
000859.SZ,3.3653676275314107e-07
000860.SZ,1.191459007946555e-07
000862.SZ,0.0004794572002183476
000863.SZ,3.117954528072797e-07
000868.SZ,7.49922975809594e-08
000869.SZ,0.0003998748305077291
000875.SZ,3.6239943073212267e-07
000876.SZ,0.0002274194244263103
000877.SZ,5.619167270684036e-06
000878.SZ,2.138341890168856e-06
000880.SZ,7.716825774999428e-07
000881.SZ,2.8842121943347407e-05
000882.SZ,1.9667808618725366e-07
000883.SZ,0.00041588001982434354
000885.SZ,2.790194078618383e-07
000886.SZ,5.253898226125521e-05
000887.SZ,8.745988684060357e-07
000888.SZ,0.00019803805684272423
000890.SZ,3.3427897640135747e-06
000892.SZ,0.00042838453622395215
000893.SZ,2.9401318291736455e-07
000895.SZ,0.0001463110703334849
000897.SZ,8.645246697190817e-07
000899.SZ,2.7825070422343594e-05
000900.SZ,1.2544681882007015e-06
000901.SZ,1.3573580768725933e-07
000902.SZ,0.00010064204196946141
000903.SZ,4.934000027936177e-07
000905.SZ,1.532217020500507e-06
000906.SZ,4.344913173496116e-06
000908.SZ,8.456664447792227e-05
000910.SZ,3.0676300885016074e-06
000911.SZ,1.724646440746196e-07
000912.SZ,2.3293389591706753e-06
000913.SZ,0.00029193593940378453
000917.SZ,0.0007084167581533554
000919.SZ,9.341099440369358e-07
000921.SZ,0.0005618430282716452
000922.SZ,0.00018454651468470022
000923.SZ,0.0005051740331714817
000925.SZ,4.972100874853534e-05
000926.SZ,2.4388041993871465e-07
000927.SZ,3.1076608682958286e-07
000928.SZ,1.0609930175715753e-07
000930.SZ,0.0001586460348993006
000931.SZ,0.0005011316157861468
